Лемма 	часть
шоу	s
шоссе	s
шоколадка	s
шоколад	s
сумка	s
тетя	s
ток	s
счет	s
счастье	s
сцена	s
схема	s
существование	s
существо	s
сухарь	s
суть	s
сутки	s
супчик	s
суп	s
телевидение	s
сумма	s
техник	s
сука	s
судья	s
судьба	s
суд	s
суббота	s
ступенька	s
стул	s
стук	s
студия	s
сумочка	s
текст	s
театр	s
творчество	s
творог	s
торговля	s
темп	s
темнота	s
тема	s
тело	s
телик	s
телефон	s
телеграмма	s
телевизор	s
тепло	s
точка	s
тост	s
тоска	s
тортик	s
торт	s
тормоз	s
пение	s
тон	s
том	s
толпа	s
толк	s
тетушка	s
товарищ	s
товар	s
ткань	s
тишина	s
тип	s
течение	s
технология	s
техникум	s
техника	s
пивко	s
поликлиника	s
полис	s
полицай	s
полк	s
полка	s
полкило	s
перерыв	s
пирожок	s
пирожное	s
пирог	s
..издец	s
пидор	s
поза	s
пиджак	s
пиво	s
полигон	s
позвоночник	s
пешеход	s
перчатка	s
печь	s
печка	s
показание	s
печенье	s
показатель	s
печень	s
печать	s
петрушка	s
песок	s
песня	s
песенка	s
пес	s
персонаж	s
пляж	s
плюс	s
подписка	s
площадь	s
площадка	s
плоскость	s
подпись	s
плитка	s
подробность	s
подросток	s
подруга	s
плита	s
победа	s
покой	s
перспектива	s
поиск	s
поколение	s
период	s
перец	s
переход	s
переулок	s
покупатель	s
пересказ	s
покупка	s
писатель	s
пол	s
полгода	s
полдень	s
поле	s
полет	s
прелесть	s
преподаватель	s
премия	s
прадед	s
правило	s
предел	s
право	s
отвертка	s
претензия	s
остров	s
остаток	s
остановка	s
правительство	s
предложение	s
президент	s
отопление	s
практика	s
предприятие	s
отзыв	s
отель	s
отдых	s
особенность	s
предприниматель	s
поход	s
представление	s
председатель	s
официант	s
прибыль	s
отец	s
основное	s
отделение	s
охота	s
отчет	s
отдел	s
отпуск	s
правда	s
пояс	s
отрывок	s
открытка	s
поэт	s
поэзия	s
отсутствие	s
оттенок	s
офицер	s
почта	s
отчество	s
почка	s
предмет	s
плечо	s
отъезд	s
предок	s
открытие	s
почва	s
отделка	s
офис	s
почтамт	s
ответ	s
праздник	s
ответственность	s
преподавание	s
препод	s
препарат	s
отношение	s
палатка	s
переводчик	s
понедельник	s
перевод	s
понимание	s
понт	s
пончик	s
переезд	s
пальчик	s
пальто	s
поставка	s
палочка	s
палка	s
поставщик	s
постановка	s
палец	s
передача	s
постель	s
палата	s
пауза	s
пакет	s
па	s
ощущение	s
ошибка	s
посуда	s
очки	s
очередь	s
оценка	s
посылка	s
пот	s
охрана	s
поток	s
положение	s
потолок	s
пединститут	s
педаль	s
поросенок	s
порошок	s
педагог	s
певец	s
портрет	s
портфель	s
пачка	s
порядок	s
пацан	s
пельмень	s
половина	s
половинка	s
пакетик	s
полоса	s
полотенце	s
перемена	s
полочка	s
полтинник	s
перекресток	s
полчаса	s
польза	s
понятие	s
помещение	s
помидор	s
помойка	s
помощник	s
помощь	s
письмо	s
платье	s
подушка	s
подход	s
платформа	s
подъезд	s
полковник	s
платочек	s
плата	s
поезд	s
поездка	s
план	s
плакат	s
пища	s
пицца	s
питание	s
плащ	s
пистолет	s
пожар	s
подъем	s
погода	s
подарок	s
подвал	s
повышение	s
подготовка	s
поворот	s
поддержка	s
повод	s
сволочь	s
поведение	s
поднос	s
пара	s
поселок	s
патрон	s
пасха	s
паста	s
пассажир	s
паспорт	s
партия	s
парта	s
парочка	s
посольство	s
паровоз	s
памятник	s
парикмахерская	s
парикмахер	s
парень	s
совпадение	s
пост	s
пар	s
папка	s
папаша	s
папа	s
пансион	s
панель	s
память	s
парк	s
подружка	s
пленка	s
племянница	s
племянник	s
плеер	s
пудель	s
спецкурс	s
специальность	s
специалист	s
спекулянт	s
спектакль	s
спасибо	s
спальня	s
союз	s
сочинение	s
спиртное	s
путешествие	s
путевка	s
пуск	s
пункт	s
пузо	s
спина	s
пуд	s
пуговица	s
пугач	s
публика	s
птичка	s
свечка	s
психология	s
психолог	s
психика	s
пряжка	s
пруд	s
прошлое	s
процесс	s
процент	s
проход	s
сознание	s
сосна	s
соска	s
соседка	s
сосед	s
стакан	s
соревнование	s
сообщение	s
сон	s
солянка	s
соль	s
солнышко	s
солнце	s
солдат	s
сокол	s
сок	s
профессор	s
сорт	s
стадион	s
срок	s
средство	s
среда	s
сравнение	s
справка	s
способность	s
способ	s
спорт	s
спор	s
список	s
сочетание	s
спирт	s
привычка	s
прическа	s
приступ	s
природа	s
принцип	s
принтер	s
пример	s
протокол	s
прикол	s
приключение	s
приказ	s
признак	s
приемник	s
прием	s
придурок	s
приглашение	s
причина	s
прививка	s
приветик	s
прима	s
просьба	s
пространство	s
проспект	s
просмотр	s
пропуск	s
промоутер	s
прокуратура	s
произношение	s
производство	s
произведение	s
проза	s
проверка	s
радио	s
профессия	s
птица	s
рамка	s
раковина	s
рак	s
район	s
рай	s
разрыв	s
разрешение	s
разница	s
размер	s
разговор	s
развитие	s
путь	s
радость	s
сосок	s
раввин	s
рабочий	s
работник	s
работа	s
пятно	s
пятница	s
пятерка	s
пьеса	s
пыль	s
раз	s
проблема	s
пробка	s
приятельница	s
приятель	s
система	s
сезон	s
север	s
ситуация	s
сдача	s
священник	s
связь	s
ящик	s
свобода	s
свитер	s
свинья	s
свидетельство	s
свидетель	s
свиданье	s
свидание	s
сеанс	s
секрет	s
сирота	s
синяк	s
сила	s
сиденье	s
сидение	s
сигнализация	s
сигарета	s
сеть	s
сетка	s
сестра	s
семечко	s
серпантин	s
серия	s
сериал	s
сережка	s
смех	s
юрист	s
совет	s
совесть	s
событие	s
собственность	s
собственник	s
собрание	s
собор	s
собеседование	s
слух	s
собака	s
сникерс	s
снег	s
смысл	s
смородина	s
середина	s
сметана	s
смесь	s
смерть	s
смена	s
случай	s
собачка	s
семестр	s
семейство	s
село	s
селедка	s
секция	s
секунда	s
секс	s
секретарь	s
страдание	s
студент	s
структура	s
строчка	s
стройка	s
строительство	s
стрижка	s
стрелочка	s
стрелка	s
страховка	s
страх	s
стратегия	s
стол	s
страничка	s
страница	s
страна	s
стекло	s
стоянка	s
сторона	s
столовка	s
столовая	s
столица	s
столик	s
столб	s
страсть	s
соус	s
сотрудник	s
сотня	s
сотка	s
состояние	s
состав	s
степень	s
сердце	s
сервис	s
сентябрь	s
сено	s
семья	s
семинар	s
сессия	s
стоимость	s
стихотворение	s
стихи	s
стих	s
стирка	s
стипендия	s
стиль	s
стереотип	s
эра	s
стенка	s
стена	s
сожаление	s
стационар	s
статья	s
стать	s
статус	s
старье	s
старушка	s
старуха	s
старость	s
старик	s
станция	s
стаканчик	s
философия	s
фотоаппарат	s
фотка	s
форум	s
форточка	s
формат	s
форма	s
фон	s
фокус	s
флаг	s
фишка	s
холодильник	s
финн	s
фильтр	s
фильм	s
филфак	s
фотография	s
философ	s
филолог	s
филиал	s
физкультура	s
физиономия	s
физика	s
фирма	s
холод	s
хоккей	s
хозяйство	s
хозяйка	s
хозяин	s
ход	s
хлебушек	s
хлеб	s
человечек	s
хрень	s
хрен	s
храм	s
хохот	s
хор	s
цветок	s
черт	s
черника	s
черная	s
чердак	s
чемпионат	s
чемпион	s
чемодан	s
челюсть	s
человечество	s
хирург	s
человек	s
цифра	s
челка	s
чек	s
чашка	s
часы	s
часть	s
часик	s
час	s
чайник	s
чайка	s
чай	s
чаек	s
чело	s
ягода	s
шум	s
шуба	s
штучка	s
штука	s
штраф	s
штора	s
штаны	s
щука	s
японец	s
январь	s
яма	s
яйцо	s
яичко	s
языкознание	s
язык	s
шутка	s
явление	s
яблочко	s
яблоко	s
эпоха	s
юр	s
юность	s
юмор	s
юг	s
юбка	s
юбилей	s
эффект	s
этап	s
этаж	s
эскимо	s
проезд	s
энергия	s
химия	s
херня	s
фраза	s
хвостик	s
хвост	s
характеристика	s
характер	s
халат	s
футболка	s
футбол	s
функция	s
фрукт	s
фронт	s
француз	s
хер	s
продукция	s
эмоция	s
элемент	s
электрокардиограмма	s
электричка	s
электричество	s
экскурсия	s
экран	s
экономист	s
экономика	s
экзамен	s
черта	s
щи	s
щетка	s
щенок	s
ряд	s
ролик	s
розетка	s
роза	s
рубль	s
свеча	s
светофор	s
свет	s
свекровь	s
свекла	s
свадьба	s
сборник	s
сборка	s
сахар	s
сауна	s
сарай	s
роль	s
сапог	s
сантиметр	s
санаторий	s
самолет	s
самокат	s
салон	s
салатик	s
салат	s
сайт	s
садик	s
сад	s
сапожок	s
реклама	s
река	s
результат	s
ручка	s
художник	s
продукт	s
продолжение	s
продажа	s
продавец	s
прогулка	s
прогресс	s
программа	s
проволока	s
провод	s
проект	s
рюмка	s
рынок	s
рыбка	s
рыба	s
..уй	s
русский	s
руль	s
рулон	s
руководитель	s
рукав	s
рука	s
рапорт	s
рубашка	s
рояль	s
роуминг	s
рот	s
рост	s
романтик	s
роман	s
цех	s
ректор	s
речь	s
речка	s
рецепт	s
рецензия	s
реферат	s
ресторан	s
реплика	s
репетиция	s
репертуар	s
ремонт	s
ремень	s
решение	s
цирк	s
цивилизация	s
резерв	s
церковь	s
цепь	s
цепочка	s
центр	s
цена	s
цель	s
целое	s
цветочек	s
студентка	s
цвет	s
царь	s
хулиган	s
..уйня	s
резина	s
рог	s
режиссер	s
режим	s
редиска	s
редактор	s
регистрация	s
регион	s
рожденье	s
ребятишки	s
ребята	s
ребеночек	s
ребенок	s
реал	s
реакция	s
расчет	s
рассказ	s
расстояние	s
рисунок	s
род	s
родина	s
родитель	s
родные	s
родня	s
родственник	s
родственница	s
рожа	s
рождение	s
революция	s
раса	s
расписание	s
пугаться	v
пугать	v
поцеловать	v
починить	v
путать	v
разделить	v
раздеваться	v
раздаваться	v
раздавать	v
потрясать	v
ломать	v
похудеть	v
похоронить	v
походить	v
потянуть	v
лить	v
потрясти	v
пускать	v
пустить	v
кончиться	v
путаться	v
прослушать	v
разбить	v
просмотреть	v
проснуться	v
развестись	v
клясться	v
радовать	v
радоваться	v
ложиться	v
посчитать	v
разбирать	v
разбираться	v
разговаривать	v
разбудить	v
развернуться	v
клеить	v
развести	v
ложить	v
класть	v
развиваться	v
разводить	v
разворачиваться	v
разглядывать	v
купаться	v
принимать	v
приносить	v
прекратить	v
лазить	v
принять	v
кричать	v
приобрести	v
припереться	v
присаживаться	v
присесть	v
прислать	v
преследовать	v
привезти	v
привести	v
кусать	v
прибежать	v
прибегать	v
привлекать	v
приводить	v
курить	v
привозить	v
купить	v
приехать	v
пытаться	v
потеряться	v
потерять	v
потерпеть	v
потащить	v
работать	v
ловить	v
посылать	v
принести	v
преподавать	v
потратить	v
признать	v
прийти	v
прийтись	v
приказать	v
прикалываться	v
прикинуть	v
крутиться	v
крутить	v
прилететь	v
принадлежать	v
подружиться	v
создавать	v
создаваться	v
создать	v
подсказать	v
дружить	v
сойти	v
сойтись	v
мочь	v
положить	v
драться	v
драть	v
думать	v
сомневаться	v
дочитать	v
доходить	v
достигнуть	v
достаться	v
достать	v
соображать	v
сообразить	v
комментировать	v
простить	v
подняться	v
допустить	v
подписать	v
допить	v
сосать	v
подойти	v
подозревать	v
доставать	v
соскучиться	v
подогреть	v
подобрать	v
лечить	v
составить	v
составлять	v
мучаться	v
поднять	v
мучить	v
мучиться	v
сохранить	v
мужать	v
созваниваться	v
созвониться	v
пролететь	v
пропадать	v
кончить	v
кончаться	v
кончать	v
произносить	v
произойти	v
происходить	v
пройти	v
летать	v
контролировать	v
почитать	v
промотать	v
лететь	v
почистить	v
пропасть	v
прописать	v
пропускать	v
пропустить	v
проработать	v
прорваться	v
просидеть	v
проспать	v
простудиться	v
просыпаться	v
лечиться	v
протирать	v
лечь	v
протягивать	v
проучиться	v
появляться	v
появиться	v
проходить	v
просить	v
пошутить	v
прочесть	v
прочитать	v
почувствовать	v
прощать	v
прощаться	v
проявлять	v
прыгать	v
прыгнуть	v
колоть	v
свалиться	v
попасть	v
попадаться	v
знакомиться	v
сбежать	v
сбить	v
значить	v
получиться	v
сбросить	v
получить	v
знать	v
свалить	v
попасться	v
сварить	v
получаться	v
менять	v
сбегать	v
свернуть	v
свести	v
меняться	v
светить	v
получать	v
мерзнуть	v
интересоваться	v
поражаться	v
поработать	v
решать	v
искать	v
решаться	v
решить	v
решиться	v
ржать	v
рисковать	v
рисовать	v
мерить	v
интересовать	v
издеваться	v
попрощаться	v
попросить	v
попробовать	v
поправиться	v
родить	v
родиться	v
попить	v
попереться	v
постоять	v
померить	v
помереть	v
поменяться	v
поменять	v
помазать	v
полюбить	v
пользоваться	v
расписать	v
качаться	v
качать	v
поместиться	v
постирать	v
катиться	v
постараться	v
кататься	v
катать	v
ранить	v
раскрыть	v
распечатать	v
касаться	v
построить	v
помочь	v
мести	v
зевать	v
поломать	v
здравствовать	v
сажать	v
махнуть	v
издавать	v
извиняться	v
извиниться	v
извинить	v
попытаться	v
маяться	v
избавиться	v
идти	v
помогать	v
помнить	v
садиться	v
поразить	v
играть	v
помещаться	v
помешать	v
копить	v
продать	v
продлить	v
продолжать	v
продолжаться	v
предположить	v
продолжить	v
кормить	v
предлагать	v
проезжать	v
проехать	v
прожить	v
лезть	v
проиграть	v
копать	v
произвести	v
производить	v
пришить	v
приставать	v
пристать	v
предъявлять	v
присутствовать	v
присылать	v
придумать	v
привыкнуть	v
присниться	v
купать	v
кушать	v
привязать	v
пригласить	v
приглашать	v
прибавить	v
пригодиться	v
приготовить	v
притащить	v
придумывать	v
приезжать	v
предложить	v
проголодаться	v
предполагать	v
прогуляться	v
продавать	v
продаваться	v
косить	v
лежать	v
изучить	v
понять	v
понравиться	v
понимать	v
рубить	v
имитировать	v
иметься	v
иметь	v
понести	v
ругать	v
рожать	v
пообедать	v
изучать	v
материться	v
понадобиться	v
изобразить	v
помыться	v
изображать	v
измениться	v
изменить	v
помыть	v
махать	v
пробовать	v
приходить	v
приходиться	v
предупреждать	v
предупредить	v
краситься	v
красить	v
раздражать	v
представлять	v
пробить	v
представить	v
привыкать	v
провалиться	v
проверить	v
проверять	v
провести	v
проводить	v
проводиться	v
провожать	v
ругаться	v
попадать	v
пообщаться	v
запомнить	v
заслужить	v
полить	v
заходить	v
зарезать	v
мешать	v
заработать	v
зарабатывать	v
запустить	v
ползти	v
запрещать	v
запретить	v
заснуть	v
запоминать	v
заполнять	v
сдать	v
сводить	v
здороваться	v
связать	v
связаться	v
звякнуть	v
звучать	v
связываться	v
следить	v
познакомиться	v
познакомить	v
скрывать	v
скрыться	v
скучать	v
поздравлять	v
жрать	v
поздравить	v
жить	v
поздороваться	v
звонить	v
мечтать	v
захватить	v
затормозить	v
засыпать	v
засчитать	v
засунуть	v
застрять	v
застать	v
заставлять	v
заставить	v
закрывать	v
заменить	v
заложить	v
залить	v
заливать	v
залезть	v
залезать	v
поклясться	v
покрасить	v
закрыть	v
покататься	v
закрываться	v
заменять	v
закроить	v
закричать	v
закопать	v
закончиться	v
закончить	v
сидеть	v
заколебаться	v
занять	v
заплатить	v
заплакать	v
защитить	v
сгонять	v
сгореть	v
сдавать	v
звать	v
заполнить	v
сдаться	v
сделать	v
защищаться	v
защищать	v
защититься	v
заключаться	v
сдохнуть	v
зашить	v
зашибиться	v
захотеться	v
захотеть	v
закрыться	v
покормить	v
сжечь	v
заметить	v
замерзнуть	v
заинтересовать	v
заварить	v
заваривать	v
завалиться	v
задумываться	v
заканчиваться	v
заканчивать	v
заказывать	v
заказать	v
покатать	v
показывать	v
зайти	v
поить	v
зажигать	v
зажать	v
заехать	v
за..баться	v
завалить	v
задуматься	v
показаться	v
показать	v
задержаться	v
задержать	v
скачать	v
заговорить	v
заводить	v
загнуться	v
заглянуть	v
заглядывать	v
пойти	v
завязывать	v
завязать	v
сканировать	v
завтракать	v
сказать	v
поймать	v
заворачивать	v
загорать	v
скидывать	v
скинуть	v
зависеть	v
завидовать	v
завестись	v
завести	v
завернуть	v
забывать	v
пожрать	v
пожить	v
случиться	v
желать	v
слушать	v
слушаться	v
жевать	v
слышать	v
поиграть	v
забыть	v
служить	v
забрать	v
складывать	v
заболеть	v
заблудиться	v
забить	v
забирать	v
забивать	v
забегать	v
складываться	v
поискать	v
жечь	v
задать	v
задавить	v
задавать	v
скакать	v
загореться	v
женить	v
позвонить	v
слетать	v
позволять	v
слить	v
полететь	v
позволить	v
позвать	v
сложить	v
сложиться	v
позаниматься	v
позавтракать	v
жениться	v
следовать	v
сломать	v
сломаться	v
сниматься	v
срывать	v
ссориться	v
дернуть	v
держаться	v
держать	v
ставить	v
ставиться	v
подготовить	v
подвинуться	v
дергаться	v
собрать	v
подготовиться	v
сниться	v
сносить	v
снять	v
сняться	v
подъехать	v
собирать	v
..бать	v
собираться	v
соблюдать	v
дышать	v
спросить	v
подавать	v
наделать	v
надеть	v
надеяться	v
погулять	v
погодить	v
стереть	v
срезать	v
наблюдать	v
спрашивать	v
подъезжать	v
спрятать	v
спускаться	v
спуститься	v
сработать	v
деться	v
поддержать	v
сравнивать	v
сравнить	v
набрать	v
доказывать	v
поехать	v
жаловаться	v
пожарить	v
жалеть	v
подстричь	v
смотреть	v
ехать	v
есть	v
смотреться	v
смочь	v
пожалеть	v
сметь	v
снести	v
поесть	v
снимать	v
езжать	v
подождать	v
досмотреть	v
подписывать	v
сообщить	v
соответствовать	v
сопротивляться	v
мотаться	v
ездить	v
собраться	v
подчеркивать	v
подходить	v
советовать	v
подумать	v
согласиться	v
дуть	v
соглашаться	v
подтвердить	v
надевать	v
содержать	v
смеяться	v
ждать	v
жать	v
сменить	v
пожениться	v
жарить	v
пожелать	v
молчать	v
сметать	v
поджечь	v
спасти	v
добраться	v
добиться	v
добираться	v
добавлять	v
добавить	v
спать	v
подложить	v
подключить	v
спеть	v
подключать	v
подержать	v
поднимать	v
спешить	v
поделиться	v
поделить	v
поделать	v
подействовать	v
списывать	v
спорить	v
диктовать	v
поддерживать	v
покурить	v
записываться	v
записывать	v
записаться	v
записать	v
полезть	v
полежать	v
полагаться	v
покушать	v
заняться	v
поживать	v
набирать	v
покупать	v
заниматься	v
занимать	v
занести	v
замучить	v
покраситься	v
замочить	v
замолчать	v
сесть	v
замечать	v
делить	v
довести	v
доверять	v
мыться	v
довезти	v
наговорить	v
подвести	v
сталкиваться	v
становиться	v
навести	v
стараться	v
доводить	v
делаться	v
делать	v
навестить	v
подбирать	v
действовать	v
подать	v
дергать	v
дежурить	v
подарить	v
стать	v
доесть	v
набить	v
подниматься	v
доказать	v
сохраниться	v
дойти	v
доить	v
дожить	v
сохранять	v
дождаться	v
доехать	v
сорвать	v
доедать	v
договориться	v
договорить	v
справиться	v
договариваться	v
догнать	v
догадываться	v
догадаться	v
сочинять	v
мыть	v
начинаться	v
опустить	v
глотать	v
терпеть	v
опускать	v
гнать	v
начать	v
определиться	v
гладить	v
начаться	v
терять	v
начинать	v
отвести	v
определить	v
платить	v
остынуть	v
гореть	v
наступить	v
остановиться	v
насыпать	v
организовать	v
гонять	v
остаться	v
нарвать	v
считать	v
считаться	v
сшибить	v
сшить	v
съедать	v
твориться	v
съездить	v
греть	v
съесть	v
сыграть	v
голосовать	v
сыпать	v
нарезать	v
нарисовать	v
побывать	v
определять	v
встретить	v
глядеть	v
глючить	v
тереть	v
плевать	v
накрывать	v
накладывать	v
назначить	v
дать	v
накопить	v
дарить	v
стрелять	v
стремиться	v
освободиться	v
накормить	v
стричь	v
накачать	v
стоить	v
стесняться	v
надоедать	v
стирать	v
надоесть	v
деваться	v
девать	v
поговорить	v
поглядеть	v
надумать	v
находиться	v
натянуть	v
орать	v
поверить	v
научить	v
научиться	v
отвезти	v
годиться	v
находить	v
говориться	v
говорить	v
напрягать	v
гнить	v
повысить	v
стоять	v
двигаться	v
называть	v
страдать	v
называться	v
найти	v
найтись	v
повышать	v
отрезать	v
отправлять	v
пахнуть	v
пахать	v
варить	v
отпускать	v
отпустить	v
отработать	v
отреагировать	v
беречь	v
валяться	v
чесать	v
валять	v
бесить	v
беситься	v
отремонтировать	v
носить	v
носиться	v
беспокоить	v
быть	v
париться	v
оторвать	v
читать	v
отобрать	v
вешать	v
взяться	v
взять	v
переводить	v
одеть	v
услышать	v
вздыхать	v
уснуть	v
успевать	v
успеть	v
отомстить	v
чихать	v
перевестись	v
успокоиться	v
уставать	v
устанавливать	v
установить	v
перевести	v
устать	v
устраивать	v
устраиваться	v
таскать	v
нарушать	v
побежать	v
победить	v
останавливать	v
побегать	v
танцевать	v
готовиться	v
останавливаться	v
настроить	v
плюнуть	v
побить	v
остановить	v
наступать	v
тащить	v
тащиться	v
творить	v
напугать	v
сходить	v
повезти	v
являться	v
побыть	v
учиться	v
чистить	v
одеваться	v
бежать	v
велеть	v
учесть	v
везти	v
одевать	v
переставить	v
учитывать	v
учить	v
наесться	v
оторваться	v
отправить	v
отправиться	v
вводить	v
ввести	v
чесаться	v
плясать	v
готовить	v
побояться	v
поболтать	v
выиграть	v
вылазить	v
выкупить	v
выбирать	v
выключить	v
выключать	v
выкладывать	v
выкинуть	v
встретиться	v
выйти	v
выбрасывать	v
выигрывать	v
вылезать	v
выбрать	v
выбраться	v
выбросить	v
вызывать	v
топить	v
печатать	v
пилить	v
выяснить	v
выясниться	v
выяснять	v
печь	v
выдвинуть	v
арестовать	v
вызвать	v
выжить	v
выехать	v
вывести	v
выезжать	v
выдержать	v
выделяться	v
выделять	v
экономить	v
выдвигать	v
выдать	v
выдавать	v
выгонять	v
отдохнуть	v
выгнать	v
выводить	v
выглядеть	v
выкидывать	v
выбивать	v
плакать	v
ответить	v
выступать	v
опоздать	v
встречать	v
шутить	v
выступить	v
отдавать	v
отвлекаться	v
требоваться	v
вытаскивать	v
торчать	v
вытащить	v
вытереть	v
встречаться	v
плавать	v
вытянуть	v
выучить	v
торопиться	v
вступить	v
выходить	v
тормозить	v
оплачивать	v
течь	v
отвлекать	v
пить	v
питаться	v
вязать	v
торговать	v
петь	v
выставить	v
топать	v
отдыхать	v
выпускать	v
описать	v
описывать	v
отвечать	v
оплатить	v
писаться	v
писать	v
толкать	v
толкаться	v
трепаться	v
трогать	v
накрыть	v
напоминать	v
напомнить	v
направить	v
грузиться	v
грузить	v
повернуть	v
существовать	v
сфотографировать	v
схватить	v
наложить	v
строиться	v
нанять	v
наладить	v
повторяться	v
наливать	v
налить	v
повторять	v
повторить	v
освободить	v
глянуть	v
стучать	v
давить	v
повернуться	v
строить	v
нажать	v
нажимать	v
нажраться	v
погладить	v
оставаться	v
столкнуться	v
названивать	v
погибнуть	v
назвать	v
даваться	v
повести	v
гулять	v
суметь	v
напечатать	v
написать	v
повесить	v
сунуть	v
напиться	v
наплевать	v
грызть	v
выслать	v
вылить	v
вылечить	v
вылететь	v
вырвать	v
выспаться	v
высохнуть	v
шуметь	v
входить	v
требовать	v
выслушивать	v
выложить	v
выскакивать	v
вырезать	v
вылезти	v
вырасти	v
отдать	v
выражаться	v
выпустить	v
тратить	v
опаздывать	v
травить	v
выплатить	v
давать	v
оставить	v
поворачивать	v
оставлять	v
судить	v
нанимать	v
выпасть	v
выполнить	v
въехать	v
выплевывать	v
верить	v
выпить	v
выписывать	v
выписать	v
выпивать	v
планировать	v
выполнять	v
вынуть	v
вынимать	v
вынести	v
вымыть	v
удовлетворить	v
возиться	v
открыться	v
возить	v
отличаться	v
удивиться	v
улететь	v
возвращать	v
переносить	v
удивляться	v
воевать	v
отличить	v
удивить	v
перенести	v
уезжать	v
водить	v
употреблять	v
отнять	v
унести	v
передумать	v
передергивать	v
висеть	v
переделывать	v
вносить	v
отнести	v
ужинать	v
перейти	v
узнавать	v
узнать	v
уйти	v
уехать	v
указывать	v
укладывать	v
укладываться	v
упаковать	v
перезвонить	v
украсть	v
нести	v
нестись	v
укусить	v
возвращаться	v
возмущаться	v
ударить	v
удаться	v
нервничать	v
включить	v
влюбиться	v
влиять	v
открыть	v
влезть	v
переезжать	v
владеть	v
относиться	v
умолять	v
умываться	v
умыться	v
уметь	v
включать	v
откроить	v
врать	v
перестать	v
тусоваться	v
отключить	v
оказываться	v
тушить	v
впаривать	v
шить	v
видеть	v
переделать	v
упасть	v
упираться	v
вкладывать	v
чувствоваться	v
чувствовать	v
передать	v
передавать	v
переговорить	v
видеться	v
отмечать	v
одеться	v
видать	v
умирать	v
чуять	v
пережить	v
уложить	v
улыбаться	v
переживать	v
переехать	v
умереть	v
разрешить	v
разогреть	v
расстроиться	v
кидать	v
кивать	v
разойтись	v
разорвать	v
разориться	v
разрезать	v
разрешать	v
кашлять	v
лопнуть	v
разобраться	v
поступать	v
порезать	v
резать	v
мазать	v
посадить	v
поругаться	v
рекламировать	v
рекомендовать	v
портиться	v
исчезнуть	v
кидаться	v
распустить	v
поставить	v
рассказать	v
рассказывать	v
расслабиться	v
рассматривать	v
рассмотреть	v
расстаться	v
расстегнуть	v
расстраиваться	v
исчезать	v
разливать	v
кипятить	v
кипеть	v
различать	v
кинуть	v
разложить	v
разменять	v
ломаться	v
поступить	v
разобрать	v
реветь	v
поссориться	v
рвануть	v
рвать	v
рваться	v
реагировать	v
списать	v
любить	v
посоветоваться	v
посоветовать	v
посмотреть	v
расти	v
казаться	v
послушать	v
послать	v
посидеть	v
посещать	v
поселиться	v
указать	v
отложить	v
отменить	v
отметить	v
использовать	v
портить	v
ремонтировать	v
поржать	v
посвятить	v
испытывать	v
испугаться	v
исправлять	v
исправить	v
испортиться	v
испортить	v
тыкать	v
исполнять	v
исполниться	v
порвать	v
испечь	v
поспать	v
рассуждать	v
рассчитать	v
рассчитывать	v
растаять	v
растеряться	v
обращать	v
фотографироваться	v
обедать	v
обещать	v
отъехать	v
оформить	v
образоваться	v
обратить	v
обратиться	v
оценивать	v
охренеть	v
цвести	v
фотографировать	v
обходить	v
обращаться	v
обрезать	v
худеть	v
целовать	v
целоваться	v
обрывать	v
охранять	v
оформлять	v
обсуждать	v
нравиться	v
обмануть	v
падать	v
обнаглеть	v
обнаружить	v
обниматься	v
бить	v
парить	v
беспокоиться	v
отсканировать	v
бывать	v
ценить	v
отстать	v
объяснять	v
бухать	v
объяснить	v
объехать	v
хлопать	v
биться	v
объесться	v
обалдеть	v
отходить	v
перебить	v
оценить	v
вертеться	v
устроиться	v
вести	v
перевернуть	v
весить	v
уступать	v
утилизировать	v
веселиться	v
уточнить	v
храниться	v
перебирать	v
устроить	v
ухаживать	v
перебивать	v
бегать	v
вернуться	v
вернуть	v
отойти	v
уходить	v
участвовать	v
ошибаться	v
обсудить	v
цепляться	v
хотеть	v
ощущать	v
ходить	v
обожать	v
обозначать	v
блестеть	v
обойти	v
обойтись	v
офигеть	v
обрадоваться	v
хоронить	v
ночевать	v
хотеться	v
общаться	v
цитировать	v
болтаться	v
болтать	v
хохотать	v
болеть	v
уволить	v
воспринимать	v
ненавидеть	v
ассоциироваться	v
отказаться	v
перечислять	v
отказываться	v
переходить	v
трястись	v
откладывать	v
отключать	v
переодеваться	v
тронуть	v
вонять	v
угадать	v
угнать	v
уговаривать	v
уговорить	v
шастать	v
волноваться	v
волновать	v
угодить	v
увлекаться	v
восстановить	v
оказаться	v
переть	v
открывать	v
перепутать	v
переписываться	v
тянуть	v
тянуться	v
открываться	v
убегать	v
убежать	v
угорать	v
шляться	v
встать	v
вставлять	v
вставить	v
вставать	v
вспомнить	v
вспоминаться	v
вспоминать	v
вскочить	v
отказать	v
бросать	v
воровать	v
увеличить	v
ожидать	v
одолжить	v
увидеть	v
увидеться	v
хвалить	v
обидеть	v
обидеться	v
бросить	v
увеличивать	v
бродить	v
обижать	v
обижаться	v
обладать	v
браться	v
брать	v
будить	v
хватать	v
хватить	v
бояться	v
воспитать	v
угостить	v
угощать	v
войти	v
удалить	v
переночевать	v
возражать	v
возникнуть	v
возникать	v
ворчать	v
убивать	v
расписаться	v
переписывать	v
убирать	v
убираться	v
убить	v
